Fee Type,Amount,Applicable When,Notes
Documentation Fee,$499,All financed purchases,State-regulated cap may apply
Title & Registration,$150 - $400,All purchases,Varies by state DMV fees
Dealer Prep Fee,$299,New vehicles only,PDI inspection included
GAP Insurance,$500 - $900,Optional add-on,Covers difference if total loss
Extended Warranty,"$1,200 - $3,500",Optional add-on,Powertrain or bumper-to-bumper
Credit Life Insurance,$300 - $800,Optional add-on,Pays off loan if borrower dies
Paint Protection,$299 - $799,Optional add-on,Ceramic coating or sealant
Tire & Wheel Protection,$199 - $499,Optional add-on,Covers road hazard damage
Early Payoff Fee,2% of remaining balance,First 12 months only,Prepayment penalty
Late Payment Fee,$35 or 5% of payment,Payment >15 days late,Whichever is greater
NSF / Returned Payment,$30,Per occurrence,Applies to checks and ACH
