Vehicle Type,Credit Score Range,Loan Term (months),APR (%),Max LTV (%)
New Car,750-850,36,4.99,110
New Car,750-850,48,5.49,110
New Car,750-850,60,5.99,110
New Car,750-850,72,6.49,100
New Car,700-749,36,6.49,105
New Car,700-749,48,6.99,105
New Car,700-749,60,7.49,105
New Car,700-749,72,7.99,100
New Car,650-699,36,9.99,100
New Car,650-699,48,10.49,100
New Car,650-699,60,10.99,100
Used Car (0-2 yrs),750-850,36,5.99,100
Used Car (0-2 yrs),750-850,48,6.49,100
Used Car (0-2 yrs),750-850,60,6.99,100
Used Car (0-2 yrs),700-749,36,7.99,95
Used Car (0-2 yrs),700-749,48,8.49,95
Used Car (0-2 yrs),700-749,60,8.99,95
Used Car (3-5 yrs),750-850,36,7.49,95
Used Car (3-5 yrs),750-850,48,7.99,95
Used Car (3-5 yrs),700-749,36,9.49,90
Used Car (3-5 yrs),700-749,48,9.99,90
